"name","globalsales"
"Name","Global_Sales"
"Halo: Reach","9.88"
"Mario Kart 64","9.87"
"New Super Mario Bros. 2","9.82"
"Halo 4","9.76"
"Final Fantasy VII","9.72"
"Call of Duty: Ghosts","9.59"
"Just Dance 2","9.52"
"Gran Turismo 2","9.49"
"Call of Duty 4: Modern Warfare","9.32"
"Donkey Kong Country","9.3"
"Minecraft","9.2"
"Animal Crossing: New Leaf","9.09"
"Mario Party DS","9.02"
"Wii Sports","82.74"
"The Elder Scrolls V: Skyrim","8.84"
"Super Mario Kart","8.76"
"Halo 2","8.49"
"Wii Party","8.49"
"FIFA 16","8.49"
"Mario Party 8","8.42"
"Pokemon Black 2/Pokemon White 2","8.33"
"FIFA Soccer 13","8.24"
"The Sims 3","8.11"
"GoldenEye 007","8.09"
"Mario & Sonic at the Olympic Games","8.06"
"Final Fantasy X","8.05"
"Final Fantasy VIII","7.86"
"Pokémon Platinum Version","7.84"
"Pac-Man","7.81"
"Grand Theft Auto: Liberty City Stories","7.72"
"Super Mario Galaxy 2","7.69"
"Star Wars Battlefront (2015)","7.67"
"The Legend of Zelda: Ocarina of Time","7.6"
"Call of Duty: Advanced Warfare","7.6"
"Crash Bandicoot 2: Cortex Strikes Back","7.58"
"Super Mario Bros. 2","7.46"
"Super Smash Bros. for Wii U and 3DS","7.45"
"Call of Duty: World at War","7.37"
"Battlefield 3","7.34"
"The Legend of Zelda: Twilight Princess","7.31"
"Call of Duty: Black Ops 3","7.3"
"Just Dance","7.27"
"Battlefield 3","7.23"
"Need for Speed Underground","7.2"
"Tekken 3","7.16"
"Crash Bandicoot 3: Warped","7.13"
"Super Smash Bros. Melee","7.07"
"Mario Kart 8","6.96"
"Fallout 4","6.96"
